date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:02	302/302	---MCZ	200	added ('OK')	text/plain	etag:W/%221f5-nSRl6L225EX0hB1FUBhxktoAeAU%22	https://catinthematrix/robots.txt		(from )
22:21:02	352309/352309	---MCZ	200	added ('OK')	text/html	etag:W/%229448d07936b77cf2c15bd070ebbb7ec0%22	https://catinthematrix/	D:/Websites/catinmatrix/catinthematrix/index.html	(from )
22:21:03	59135/59135	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Apr%202024%2018:17:56%20GMT	https://static.wixstatic.com/media/ca7c48_cc988a8ab06e4345933ef9913eb8d14a~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/ca7c48_cc988a8ab06e4345933ef9913eb8d14a~mv2.png	D:/Websites/catinmatrix/static.wixstatic.com/media/ca7c48_cc988a8ab06e4345933ef9913eb8d14a_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/ca7c48_cc988a8ab06e4345933ef9913eb8d14a_mv2.png	(from https://catinthematrix/)
22:21:03	3260/3260	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Apr%202024%2019:21:03%20GMT	https://static.wixstatic.com/media/ca7c48_cc988a8ab06e4345933ef9913eb8d14a~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/ca7c48_cc988a8ab06e4345933ef9913eb8d14a~mv2.png	D:/Websites/catinmatrix/static.wixstatic.com/media/ca7c48_cc988a8ab06e4345933ef9913eb8d14a_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/ca7c48_cc988a8ab06e4345933ef9913eb8d14a_mv2.png	(from https://catinthematrix/)
22:21:03	52690/52690	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Apr%202024%2018:17:58%20GMT	https://static.wixstatic.com/media/ca7c48_cc988a8ab06e4345933ef9913eb8d14a~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/ca7c48_cc988a8ab06e4345933ef9913eb8d14a~mv2.png	D:/Websites/catinmatrix/static.wixstatic.com/media/ca7c48_cc988a8ab06e4345933ef9913eb8d14a_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/ca7c48_cc988a8ab06e4345933ef9913eb8d14a_mv2.png	(from https://catinthematrix/)
22:21:03	559/559	---M-Z	200	added ('OK')	application/javascript	etag:W/%229d1a493b511891ff2beb1359384eb679%22	https://static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	D:/Websites/catinmatrix/static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	(from https://catinthematrix/)
22:21:04	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/Websites/catinmatrix/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://catinthematrix/)
22:21:04	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	D:/Websites/catinmatrix/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://catinthematrix/)
22:21:04	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2010%20Apr%202024%2019:21:04%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	D:/Websites/catinmatrix/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://catinthematrix/)
22:21:05	11754/11754	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Apr%202024%2019:21:05%20GMT	https://static.wixstatic.com/media/ca7c48_22c6f8f2b51f4a3a9fc5177ca0b4dbe3f000.jpg/v1/fill/w_288,h_162,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/ca7c48_22c6f8f2b51f4a3a9fc5177ca0b4dbe3f000.jpg	D:/Websites/catinmatrix/static.wixstatic.com/media/ca7c48_22c6f8f2b51f4a3a9fc5177ca0b4dbe3f000.jpg/v1/fill/w_288,h_162,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/ca7c48_22c6f8f2b51f4a3a9fc5177ca0b4dbe3f000.jpg	(from https://catinthematrix/)
22:21:05	17497/17497	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Apr%202024%2019:21:05%20GMT	https://static.wixstatic.com/media/ca7c48_cc988a8ab06e4345933ef9913eb8d14a~mv2.png/v1/fill/w_95,h_93,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/CATRIX%20LOGO.png	D:/Websites/catinmatrix/static.wixstatic.com/media/ca7c48_cc988a8ab06e4345933ef9913eb8d14a_mv2.png/v1/fill/w_95,h_93,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/CATRIX%20LOGO.png	(from https://catinthematrix/)
22:21:05	112754/112754	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Apr%202024%2019:21:05%20GMT	https://static.wixstatic.com/media/ca7c48_96cf777221834e2dbabcf95148fe53a0~mv2.png/v1/fill/w_685,h_105,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/.png	D:/Websites/catinmatrix/static.wixstatic.com/media/ca7c48_96cf777221834e2dbabcf95148fe53a0_mv2.png/v1/fill/w_685,h_105,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/.png	(from https://catinthematrix/)
22:21:05	137024/137024	---M--	200	added ('OK')	image/gif	etag:%225b18f98aa5fc60f2094a2b2442c11334%22	https://static.wixstatic.com/media/ca7c48_8f566a73033c4a6c9d6472ba539b42a3~mv2.gif	D:/Websites/catinmatrix/static.wixstatic.com/media/ca7c48_8f566a73033c4a6c9d6472ba539b42a3_mv2.gif	(from https://catinthematrix/)
22:21:06	50262/50262	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Apr%202024%2019:21:06%20GMT	https://static.wixstatic.com/media/ca7c48_07be29966ef14f87aa527ef0f403b047~mv2.jpg/v1/fill/w_401,h_517,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/ca7c48_07be29966ef14f87aa527ef0f403b047~mv2.jpg	D:/Websites/catinmatrix/static.wixstatic.com/media/ca7c48_07be29966ef14f87aa527ef0f403b047_mv2.jpg/v1/fill/w_401,h_517,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/ca7c48_07be29966ef14f87aa527ef0f403b047_mv2.jpg	(from https://catinthematrix/)
22:21:06	8204/8204	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Apr%202024%2019:21:06%20GMT	https://static.wixstatic.com/media/ca7c48_c59b0b3d8fa7407ca588c7d6d3f86c1e~mv2.png/v1/crop/x_308,y_0,w_898,h_250/fill/w_113,h_31,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/ca7c48_c59b0b3d8fa7407ca588c7d6d3f86c1e~mv2.png	D:/Websites/catinmatrix/static.wixstatic.com/media/ca7c48_c59b0b3d8fa7407ca588c7d6d3f86c1e_mv2.png/v1/crop/x_308,y_0,w_898,h_250/fill/w_113,h_31,al_c,q_85,usm_0.66_1.00_0.01,blur_2,/ca7c48_c59b0b3d8fa7407ca588c7d6d3f86c1e_mv2.png	(from https://catinthematrix/)
